Checksum Id Operacao;Data do Inicio;Data da Deflagracao;Tipo de Operacao;Area;Sigla Unidade Federativa;Sigla Unidade Institucional;Atuacao em Territorio Indigena;Atuacao em Territorio de Fronteira;Qtd Prisao em Flagrante;Qtd Prisao Preventiva;Qtd Prisao Temporaria;Qtd Mandado de Busca e Apreesao;Qtd Valores Apreendidos;Qtd Valores Apreendidos i11;Qtd Valores Descapitalizados;Qtd Prejuizos Causados a Uniao;Proib Ausentar Comarca;Proib Acesso ou Freq;Comparecimento Juizo;Qtd Fianca;Qtd Internacao Prov;Proib Contato;Mand Jud Caut Assec;Recol Domic Noturno;Susp Ex Func Pub A E;Monit Eletronica
076f09ae37bc8febe2b318bad4f73314;01/10/2021;31/10/2022;Operacao Especial;Crimes de Ódio e Pornografia Infantil                                                                                           ;SP;SR/PF/SP                                                        ;Nao;                                                                                                                                ;0;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
3cd0dfae3ac612051e2f4094a3407a68;05/10/2021;31/10/2022;Operacao Especial;Tráfico de Drogas                                                                                                               ;RS;DPF/PFO/RS                                                      ;Nao;                                                                                                                                ;0;0;3;4;;;;;0;0;0;0;0;0;0;0;0;0
80dfbcb5e15a4ce875452354c3f85772;30/09/2022;31/10/2022;Operacao Especial;Crimes de Ódio e Pornografia Infantil                                                                                           ;PB;SR/PF/PB                                                        ;Nao;                                                                                                                                ;0;6;0;0;;;;;0;0;0;0;0;0;0;0;0;0
bc5a5bf89baf125f4823f30eca9c588f;31/10/2022;31/10/2022;Operacao de Apoio;Crimes Fazendários                                                                                                              ;RO;DPF/JPN/RO                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
5b4fb37af41cdad8c07505018e53e64b;31/10/2022;31/10/2022;Operacao de Apoio;Crimes Contra o Patrimônio                                                                                                      ;PE;SR/PF/PE                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
ac908b60563599c2ee207244e59c670a;31/10/2022;31/10/2022;Operacao Simples ;Crimes Fazendários                                                                                                              ;RS;DPF/SBA/RS                                                      ;Nao;Argentina                                                                                                                       ;1;0;0;0;;;;;0;0;1;1;0;0;0;0;0;0
3b7c2c6981b8ba5f56c85031e6c8134e;31/10/2022;31/10/2022;Operacao Comum   ;Crimes Fazendários                                                                                                              ;BA;DPF/VDC/BA                                                      ;Nao;                                                                                                                                ;1;0;0;0;R$3.080,00;;;;0;0;0;0;0;0;0;0;0;0
c678f83ff68927e6c637f46a444eb891;31/10/2022;31/10/2022;Operacao Simples ;Crimes Fazendários                                                                                                              ;AL;SR/PF/AL                                                        ;Nao;                                                                                                                                ;0;0;0;0;R$15.000,00;;;;0;0;0;0;0;0;0;0;0;0
d7b35d9751b54c63c884bafdeeab3c70;31/10/2022;31/10/2022;Operacao Simples ;Tráfico de Drogas                                                                                                               ;RR;FTSP/DRCOR/SR/PF/RR                                             ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
0c211a2c03b4512614ca825add1e83e7;31/10/2022;31/10/2022;Operacao de Apoio;Crimes de Ódio e Pornografia Infantil                                                                                           ;RR;SR/PF/RR                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
b3f635b861138665e9d7fb98908d287a;31/10/2022;31/10/2022;Operacao de Apoio;Crimes Fazendários                                                                                                              ;BA;DPF/BRA/BA                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
98d9e050230d12d4b5a9e2271e8deff2;31/10/2022;31/10/2022;Operacao Simples ;Tráfico de Drogas                                                                                                               ;PR;DPF/GRA/PR                                                      ;Nao;Paraguai                                                                                                                        ;0;0;0;0;R$79,00;;;;0;0;0;0;0;0;0;0;0;0
8f682c02cb7b13eb05e2e780a580190f;02/10/2022;30/10/2022;Operacao Simples ;Crimes Eleitorais                                                                                                               ;PA;SR/PF/PA                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
3e09ab2f975dd094e004a493f8e824b5;02/10/2022;30/10/2022;Operacao Simples ;Crimes Eleitorais                                                                                                               ;PB;SR/PF/PB                                                        ;Nao;                                                                                                                                ;0;0;0;0;R$20,00;;;;0;0;0;1;0;0;0;0;0;0
59bf1744c5bbb24235d7b0eae04a281e;05/10/2022;30/10/2022;Operacao Simples ;Crimes Contra o Patrimônio                                                                                                      ;PB;SR/PF/PB                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;R$130,00;0;0;0;1;0;0;0;0;0;0
5c2c73d1755012c50a9e2e49e573acc9;30/10/2022;30/10/2022;Operacao Simples ;Crimes Eleitorais                                                                                                               ;BA;SR/PF/BA                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
