Area,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022
Crimes Fazendários,319,361,136,429,352,389,357,421,323,345,230,318
Tráfico de Drogas,263,260,135,321,283,313,317,291,282,192,136,155
Crimes Ambientais,53,64,38,71,99,120,111,97,62,67,36,50
Crimes Contra o Patrimônio,51,63,26,48,58,48,38,39,39,44,21,30
Crimes de Corrupção,10,31,27,35,33,46,12,74,38,44,38,52
Crimes de Ódio e Porn. Infantil,16,42,6,27,46,29,27,48,43,40,46,42
Crimes Contra Direitos Humanos,26,38,12,35,23,33,41,32,25,12,8,13
Crimes Eleitorais,0,2,0,1,4,6,9,15,32,158,7,17
Crimes Financeiros,7,17,22,16,11,20,13,12,18,30,8,6
Tráfico de Armas,9,3,3,4,17,28,18,21,7,26,12,11
