,Sigla Unidade Federativa,Total Valores Apreendidos
6,DF,2068550.0
16,PI,2376688.0
8,GO,4002109.0
0,AC,4142334.0
3,AP,6524906.0
1,AL,8864839.0
5,CE,11111936.0
2,AM,14318842.0
26,TO,15490013.0
9,MA,17455185.0
24,SE,20535918.0
19,RN,27234725.0
21,RR,35896203.0
13,PA,48074479.0
10,MG,55127927.0
15,PE,121678275.0
12,MT,126081048.0
14,PB,161727554.0
22,RS,164958715.0
7,ES,302346840.0
11,MS,344319574.0
23,SC,381998506.0
17,PR,569259771.0
25,SP,634842921.0
18,RJ,760767315.0
20,RO,893942671.0
4,BA,1455152252.0
